,rent,location,bedroom,bathroom,toilet,parking
10324,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10325,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10326,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10327,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10328,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10329,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10330,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10331,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10332,12000000, Off Bourdillon Road Old Ikoyi Ikoyi Lagos,4.0,4.0,5.0,2.0
10333,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10334,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10335,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10336,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10339,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10340,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10341,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10342,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10343,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10344,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
10345,900000, Off Pedro Road Pedro Gbagada Lagos,2.0,2.0,3.0,1.0
10346,4500000, Ikate Lekki Lagos,4.0,4.0,5.0,2.0
10347,800000, Kilo Surulere Lagos,2.0,2.0,2.0,1.0
10348,300000, Iran-la Through Alasia Opposite Lbs Alasia Ajah Lagos,1.0,1.0,1.0,2.0
10349,1200000, Near Airportajao Estate Isolo Lagos,4.0,4.0,5.0,2.0
10350,600000, Opp Harmony Estate Ado Ajah Lagos,2.0,2.0,2.0,1.0
10351,15000000, Banana Island Ikoyi Lagos Ikoyi Lagos,3.0,3.0,4.0,2.0
10352,6000000, Mende Maryland Lagos,5.0,5.0,6.0,4.0
10353,12000000, Off Bourdillon Road Old Ikoyi Ikoyi Lagos,4.0,4.0,5.0,2.0
10354,5500000, Osapa London Osapa Lekki Lagos,4.0,4.0,5.0,3.0
10355,5500000, Bogije Bogije Ibeju Lekki Lagos,3.0,3.0,4.0,2.0
10356,5500000, Beechwood Estate Bogije Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10357,5500000, Eleko Eleko Ibeju Lekki Lagos,4.0,4.0,5.0,3.0
10360,5500000, Lekki Phase 1 Lekki Lagos,4.0,5.0,5.0,3.0
10361,1500000, Agungi Lekki Lagos,1.0,1.0,2.0,12.0
10362,60000000, Lekki Lagos Lekki Lagos,15.0,15.0,20.0,20.0
10363,1500000, Alagomeji Yaba Lagos. Alagomeji Yaba Lagos,2.0,2.0,3.0,1.0
10364,13000000, In A Well Secured Mini Court Ikoyi Lagos,4.0,5.0,5.0,3.0
10365,4000000, Osapa London Lekki Lagos,3.0,4.0,4.0,2.0
